item_name,main_category,sub_category
2kg Royal gala apple,Fresh Produce,Apples
Apple Granny Smith 1kg bag,Fresh Produce,Apples
Apple Granny smith 2kg Bags,Fresh Produce,Apples
apple Jazz,Fresh Produce,Apples
Apple Jonathan,Fresh Produce,Apples
Apple pink lady 1kg Punnet,Fresh Produce,Apples
apple pink lady 2kg,Fresh Produce,Apples
Apples Fuji,Fresh Produce,Apples
Apples Golden Delicious,Fresh Produce,Apples
Apples Granny Smith,Fresh Produce,Apples
Apples Pink Lady,Fresh Produce,Apples
Apples Red Delicious,Fresh Produce,Apples
Apples Royal Gala,Fresh Produce,Apples
Crimson Snow Apples,Fresh Produce,Apples
Firm Gold Apple 2kg,Fresh Produce,Apples
Ginger gold apple,Fresh Produce,Apples
Golden Delicious 1Kg Punnet,Fresh Produce,Apples
Pink lady kids pack 1kg,Fresh Produce,Apples
Royal Gala 1kg Punnet,Fresh Produce,Apples
Sundowner Apples,Fresh Produce,Apples
Drumstick,Fresh Produce,Asian Vegies
Jack Fruit Young Green,Fresh Produce,Asian Vegies
Ambarella,Fresh Produce,Asian Vegies
Bean Sprouts,Fresh Produce,Asian Vegies
bitter melon,Fresh Produce,Asian Vegies
Bok choy,Fresh Produce,Asian Vegies
Broccoli Chinese,Fresh Produce,Asian Vegies
Buk choy,Fresh Produce,Asian Vegies
Chokoes,Fresh Produce,Asian Vegies
Choy sum,Fresh Produce,Asian Vegies
Cooking Banana,Fresh Produce,Asian Vegies
Cooking Papaya,Fresh Produce,Asian Vegies
Garlic Shoots,Fresh Produce,Asian Vegies
Green Jack Fruits,Fresh Produce,Asian Vegies
Hairy Melon,Fresh Produce,Asian Vegies
Kang Kong,Fresh Produce,Asian Vegies
Long Melon,Fresh Produce,Asian Vegies
Okra,Fresh Produce,Asian Vegies
Pac choy,Fresh Produce,Asian Vegies
Pak choy,Fresh Produce,Asian Vegies
Pitted Green olive 1kg,Fresh Produce,Asian Vegies
Plain flour 2kg,Fresh Produce,Asian Vegies
Radish white,Fresh Produce,Asian Vegies
Sinqua (Angled Luffa),Fresh Produce,Asian Vegies
Snake Gourd,Fresh Produce,Asian Vegies
Thai Eggplant,Fresh Produce,Asian Vegies
Thalapath Dried Araliya,Fresh Produce,Asian Vegies
Winter Melon,Fresh Produce,Asian Vegies
Avocado Hass Large,Fresh Produce,Avocadoes
Avocado Hass Medium,Fresh Produce,Avocadoes
Avocado Shepard,Fresh Produce,Avocadoes
Avocado Small Hass,Fresh Produce,Avocadoes
Baking Powder 50g,Pantry Staples,Baking
Marmite210g,Pantry Staples,Baking
Pure Honey 1kg,Pantry Staples,Baking
White Sugar 1kg,Pantry Staples,Baking
Siddhalepa,Miscellaneous,Balms
Banana Cavendish,Fresh Produce,Bananas
Banana Monkey,Fresh Produce,Bananas
Bananas Ladyfinger,Fresh Produce,Bananas
Red Tip Banana,Fresh Produce,Bananas
Berries Blackberry,Fresh Produce,Berries
Berries Blueberry,Fresh Produce,Berries
Berries Raspberry,Fresh Produce,Berries
Berries Strawberry (large),Fresh Produce,Berries
Berries Strawberry (medium),Fresh Produce,Berries
Little Lion Batter Carol 275g,Snacks,Biscuit
Sesame Balls 200g,Snacks,Biscuit
Sesame Biscota 250g,Snacks,Biscuit
Thalaaluwa 350g,Snacks,Biscuit
Cookies Biscuit,Snacks,Biscuits
Florentine,Snacks,Biscuits
Maliban Marie Biscuit 400g,Snacks,Biscuits
Biscota Cocoa,Snacks,Biscuits
Bran Crackers Mal,Snacks,Biscuits
Chocolate Biscuit 200g,Snacks,Biscuits
chocolate cream bis 2 for 5.50,Snacks,Biscuits
Cream Cracker Mun,Snacks,Biscuits
Cream Cracker Munc 400g,Snacks,Biscuits
Cream Cracker190g,Snacks,Biscuits
Derana woodapple cream cream 565g,Snacks,Biscuits
Ginger Nut Mun,Snacks,Biscuits
Gold Marie 2for2.50,Snacks,Biscuits
Hawaian Cookies mun,Snacks,Biscuits
Hawaiian Cookiea 2for 2.80,Snacks,Biscuits
Kalu Dodol 450g,Snacks,Biscuits
Maliban Gold Maie 320g,Snacks,Biscuits
Maliban Krisco,Snacks,Biscuits
Rulan aluwa 400g,Snacks,Biscuits
Maliban Chick Bits,Snacks,Biscuits
Maliban Chocolate Cream Biscuit 500g,Snacks,Biscuits
Maliban Ginger Nut 2*160g,Snacks,Biscuits
Maliban Nice 2*200g,Snacks,Biscuits
Maliban Orange cream 500g,Snacks,Biscuits
Maliban Wafers Chocolate 100g,Snacks,Biscuits
Maliban Wafers vanila 100g,Snacks,Biscuits
Nice Munchee 200g,Snacks,Biscuits
Thala aluwa 400g,Snacks,Biscuits
Thalaguli 250g serendib,Snacks,Biscuits
Asparagus white,Fresh Produce,Bunch Vegies
Australian Asparagus green,Fresh Produce,Bunch Vegies
Beetroot bunch,Fresh Produce,Bunch Vegies
beetroot Golden Delicious,Fresh Produce,Bunch Vegies
Broccolini,Fresh Produce,Bunch Vegies
Celery,Fresh Produce,Bunch Vegies
Chickory,Fresh Produce,Bunch Vegies
Endive,Fresh Produce,Bunch Vegies
Green Kale Bunch,Fresh Produce,Bunch Vegies
Methi Leaves,Fresh Produce,Bunch Vegies
Onion spring,Fresh Produce,Bunch Vegies
Radish Red,Fresh Produce,Bunch Vegies
Radish White Bunch,Fresh Produce,Bunch Vegies
Rainbow Silverbeet,Fresh Produce,Bunch Vegies
Rape,Fresh Produce,Bunch Vegies
Red Radish bunch,Fresh Produce,Bunch Vegies
Rhubarb,Fresh Produce,Bunch Vegies
Silverbeet,Fresh Produce,Bunch Vegies
Spinach Bunch,Fresh Produce,Bunch Vegies
Tuscan Kale,Fresh Produce,Bunch Vegies
Watercress,Fresh Produce,Bunch Vegies
Zafarelli,Fresh Produce,Bunch Vegies
Cabbage Drumhead,Fresh Produce,Cabbages
Cabbage Drumhead small,Fresh Produce,Cabbages
Cabbage green,Fresh Produce,Cabbages
Cabbage red,Fresh Produce,Cabbages
Cabbage Savoy,Fresh Produce,Cabbages
Cabbage Wombok,Fresh Produce,Cabbages
Christmas Cake 600g,Breads & Bakery,Cake
Vasilopita 650g,Breads & Bakery,Cake
Dry Cake 400g,Breads & Bakery,Cake
Easter Candle,Miscellaneous,Candles
Captain Jack Mackerel 800g,Pantry Staples,Canned Fish
Captain Jack Mackerl 400g,Pantry Staples,Canned Fish
Delmage Jack Ma 425g,Pantry Staples,Canned Fish
Delmage Jack Mackerel 400g,Pantry Staples,Canned Fish
Derana Mackerel 425g,Pantry Staples,Canned Fish
Lakmalu Katta off Cut,Pantry Staples,Canned Fish
Lakmalu Maldivefish 100g,Pantry Staples,Canned Fish
Derana Jack Mackerel 425g,Pantry Staples,Canned Fish
Delmage Soyameat Curry,Pantry Staples,Canned Food
Delmage Soyameat Mutton 90g,Pantry Staples,Canned Food
Soya Meat chicken,Pantry Staples,Canned Food
Soya Meet Prawn 90g,Pantry Staples,Canned Food
Capsicum green,Fresh Produce,capsicum
Capsicum red,Fresh Produce,capsicum
Capsicum yellow,Fresh Produce,capsicum
Hungarian Capsicum,Fresh Produce,capsicum
Carrots,Fresh Produce,carrots
Carrots 1kg,Fresh Produce,carrots
Urid Flour 1kg,Packaged Food / Pulses,carrots
Samaposha 200g,Snacks,Cereals
Chilli Birdseye,Fresh Produce,Chillies
Chilli green,Fresh Produce,Chillies
Chilli Green long bullhorm,Fresh Produce,Chillies
chilli Jalapeno,Fresh Produce,Chillies
Chilli red,Fresh Produce,Chillies
Chilli Red Long bullhorn,Fresh Produce,Chillies
chilli yellow long,Fresh Produce,Chillies
Thai Green Chilli,Fresh Produce,Chillies
Thai Red Chilli,Fresh Produce,Chillies
2kg Marsh Grapefruit,Fresh Produce,Citrus Fruits
3kg Marsh Grapefruit,Fresh Produce,Citrus Fruits
3kg Valencia Oranges,Fresh Produce,Citrus Fruits
Afourer Mandarin,Fresh Produce,Citrus Fruits
Avana Manadarin,Fresh Produce,Citrus Fruits
Daisy Mandarines,Fresh Produce,Citrus Fruits
Easy Peal Navel Orange,Fresh Produce,Citrus Fruits
Gold Nugget700g,Fresh Produce,Citrus Fruits
